,patch,winside,BB1,RB1,BB2,RB2,BB3,BP1,RP1,RP2,BP2,BP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
12,10.6,Red,azir,pantheon,trundle,kalista,sejuani,aphelios,jarvaniv,thresh,nautilus,sett,olaf,zoe,graves,leblanc,mordekaiser,ekko,nocturne,lissandra
13,10.6,Blue,azir,pantheon,trundle,wukong,sejuani,aphelios,missfortune,sett,jarvaniv,thresh,rumble,leblanc,ornn,irelia,nautilus,galio,renekton,corki
14,10.6,Red,elise,kalista,sett,senna,leblanc,aphelios,ornn,syndra,trundle,wukong,braum,thresh,nautilus,kassadin,yuumi,azir,bard,ezreal
15,10.6,Red,elise,kalista,sett,senna,leblanc,aphelios,ornn,syndra,braum,wukong,trundle,reksai,sejuani,lucian,graves,azir,leesin,corki
16,10.6,Red,kassadin,aphelios,kalista,maokai,jarvaniv,varus,leesin,syndra,olaf,zoe,ornn,nautilus,thresh,wukong,renekton,braum,kennen,rakan
17,10.6,Red,kassadin,aphelios,leesin,ornn,jarvaniv,varus,trundle,wukong,kindred,leblanc,thresh,missfortune,mordekaiser,kalista,ezreal,braum,maokai,rakan
18,10.6,Blue,kassadin,aphelios,leesin,ornn,jarvaniv,varus,trundle,wukong,braum,kindred,syndra,missfortune,lissandra,kalista,ezreal,galio,maokai,tahmkench
19,10.6,Blue,thresh,aphelios,elise,kalista,zoe,missfortune,aatrox,xayah,leona,mordekaiser,kassadin,olaf,renekton,galio,leblanc,leesin,lissandra,reksai
20,10.6,Blue,kassadin,thresh,elise,taric,varus,kalista,senna,tahmkench,pyke,zoe,ornn,azir,reksai,mordekaiser,leesin,aatrox,olaf,sylas
21,10.6,Blue,thresh,aphelios,elise,mordekaiser,wukong,kalista,renekton,varus,sett,taric,galio,zoe,jarvaniv,olaf,azir,aatrox,viktor,nidalee
22,10.6,Red,kalista,syndra,trundle,bard,varus,renekton,leblanc,olaf,neeko,tahmkench,senna,wukong,kassadin,ornn,nautilus,aatrox,ekko,mordekaiser
23,10.6,Blue,syndra,varus,bard,kalista,leblanc,trundle,neeko,renekton,senna,tahmkench,sylas,elise,ornn,gragas,leesin,aatrox,corki,kassadin
24,10.6,Blue,jarvaniv,senna,nautilus,lucian,wukong,aphelios,missfortune,trundle,sett,syndra,thresh,ornn,taric,blitzcrank,leona,aatrox,braum,kennen
25,10.6,Red,lucian,jarvaniv,senna,nautilus,tahmkench,sett,aphelios,trundle,missfortune,sejuani,azir,ornn,irelia,thresh,aatrox,ekko,wukong,leona
26,10.6,Blue,irelia,kalista,varus,mordekaiser,trundle,aphelios,missfortune,wukong,maokai,reksai,leblanc,nautilus,kassadin,azir,corki,leona,sylas,rakan
27,10.6,Red,kalista,irelia,mordekaiser,varus,elise,wukong,aphelios,ornn,jarvaniv,missfortune,syndra,taric,zoe,braum,leblanc,nautilus,sylas,thresh
28,10.6,Blue,pantheon,azir,rumble,aphelios,renekton,varus,kaisa,sett,tahmkench,trundle,mordekaiser,ekko,leblanc,elise,gragas,jax,zoe,nocturne
29,10.6,Blue,azir,thresh,zoe,pantheon,wukong,kalista,aphelios,trundle,sett,taric,kindred,leblanc,elise,sylas,syndra,aurelionsol,graves,aatrox
30,10.6,Blue,thresh,azir,pantheon,aphelios,rumble,varus,jarvaniv,wukong,mordekaiser,trundle,zoe,diana,leblanc,aurelionsol,neeko,sylas,tahmkench,leona
31,10.6,Blue,jarvaniv,zoe,thresh,renekton,sett,trundle,aphelios,taric,ezreal,yuumi,jax,leblanc,mordekaiser,kassadin,olaf,corki,maokai,azir
